Name,Alias,fr-ref,BookID,chapter,verse, StrongID
Admirable,admirable,Esaie 9:6,23,9,6,H6382,
Ancre,ancre,Hébreux 6:19,58,6,19,G45,
Avocat,avocat,1 Jean 2:1,62,2,1,G3875,
Charpentier,charpentier,Marc 6:3,41,6,3,G5045,
Chef de l'Eglise,chef-de-l-eglise,Ephésien 5:23,49,5,23,G2776,
Conseiller,conseiller,Esaie 9:6,23,9,6,H3289,
Dieu Puissant,dieu-puissant,Esaie 9:6,23,9,6,H1368,
Docteur,docteur,Jean 3:2,43,3,2,G4461,
Eau Vive,eau-vive,Jean 4:10,43,4,10,G5204,
Emmanuel,emmanuel,Matthieu 1:23,40,1,23,G1694,
Epoux,epoux,Matthieu 9:15,40,9,15,G3566,
Fils de l'homme,fils-de-l-homme,Matthieu 20:28,40,20,28,G5207,
Fils unique,fils-unique,Jean 3:16,43,3,16,G5207,
Homme de douleur,homme-de-douleur,Esaie 53:3,23,53,3,H4341
Je suis,je-suis,Jean 8:58,43,8,58,G1510,
L'Agneau de Dieu,l-agneau-de-dieu,Jean 1:29,43,1,29,G286,
L'Amen,l-amen,Apocalypse 3:14,66,3,14,G281,
L'Etoile Brillante du Matin,l-etoile-brillante-du-matin,Apocalypse 22:16,66,22,16,G792,
L'Evèque de vos âmes,l-eveque-de-vos-ames,1 Pierre 2:25,60,2,25,G1985,
L'Oint,l-oint,Daniel 9:25,27,9,25,
La Porte,la-porte,Jean 10:9,43,10,9,G2374,
La Postérité de David,la-posterite-de-david,Apocalypse 22:16,66,22,16,G1085,
La Résurrection et la Vie,la-resurrection-et-la-vie,Jean 11:25,43,11,25,G386,
La Rose de Saron,la-rose-de-saron,Cantiques des Cantiques 2:1,22,2,1,H8289
La Vérité,la-verite,Jean 14:6,43,14,6,G225,
La Vie,la-vie,Jean 14:6,43,14,6,G2222,
Le Bien-Aimé,le-bien-aime,Ephésien 1:6,49,1,6,G25,
Le Bon Berger,le-bon-berger,Jean 10:11,43,10,11,G4166,
Le Chef et le Consommateur de la foi,le-chef-et-le-consommateur-de-la-foi,Hébreux 12:2,58,12,2,G5051,
Le Chemin,le-chemin,Jean 14:6,43,14,G3598,
Le Juge,le-juge,Actes 10:42,44,10,42,44,G2923,
Le Lion de la tribu de Juda,le-lion-de-la-tribu-de-juda,Apocalypse 5:5,66,5,5,G3023,
Le Médiateur,le-mediateur,1 Timothée 2:5,54,2,5,G3316,
le Principe de la création de Dieu,le-principe-de-la-creation-de-dieu,Apocalypse 3:14,66,3,14,G746,
Le Rejeton de David,le-rejeton-de-david,Apocalypse 5:5,66,5,5,G4491,
Le Rocher,le-rocher,1 Corinthiens 10:4,46,10,4,G4073,
Le Roi des Rois,le-roi-des-rois,1 Timothée 6:15,54,6,15,G935,
Le Seigneur des seigneurs,le-seigneur-des-seigneurs,1 Timothée 6:15,54,6,15,G2962,
Le Témoin Fidèle et Véritable,le-temoin-fidele-et-veritable,Apocalypse 3:14,66,3,14,G3144,
Le Tout Puissant,le-tout-puissant,Apocalypse 1:8,66,1,8,G3841,
L'Alpha et l'Oméga,le-tout-puissant,Apocalypse 1:8,66,1,8,G1,
Le Vrai Cep,le-vrai-cep,Jean 15:1,43,15,1,G288,
Lumière du monde,lumiere-du-monde,Jean 8:12,43,8,12,G5457,
Maître,maitre,Matthieu 8:19,40,8,,G1320,
Pain de vie,pain-de-vie,Jean 6:35,43,6,35,G740,
Pasteur,pasteur,1 Pierre 2:25,60,2,25,G4166,
Père Eternel,pere-eternel,Esaie 9:6,23,9,6,H8269,
Pierre Angulaire,pierre-angulaire,Ephésien 2:20,49,2,20,G204,
Prince de la paix,prince-de-la-paix,Esaie 9:6,23,9,6,H7965,
Prophète,prophete,Matthieu 21:11,40,21,G4396,
Rameau,rameau,Esaie 11:1,23,11,1,H5342,
Rédempteur,redempteur,Job 19:25,18,19,25,H1350,
Roi des Juifs,roi-des-juifs,Marc 15:18,41,15,18,G2453
Saint de Dieu,saint-de-dieu,Marc 1:24,41,1,24,G40,
Sauveur du monde,sauveur-du-monde,Jean 4:42,43,4,42,G4990,
Schilo,schilo,Genèse 49:10,1,49,10,H7886,
Serviteur,serviteur,Matthieu 12:18,40,12,18,G3816,
Soleil Levant,soleil-levant,Luc 1:78,42,1,78,G395,
Souverain Sacrificateur,souverain-sacrificateur,Hébreux 6:20,58,6,20,G749,